feature,importance
spo2_range_1m,0.25376337461970805
spo2_min_pct,0.1549524948160003
spo2_mean_pct,0.09522707076564664
rr_std_ms,0.055633163139411114
spo2_max_pct,0.05025172550695007
hr_mean_1m,0.03927365623201242
rr_max_ms,0.03611787436265277
spo2_drop_roll5_max,0.03426712703518043
hr_range_1m,0.03312080182532231
hr_rise_lag1,0.030341822836412603
rr_min_ms,0.03002062164763546
hr_rise_roll5_max,0.02984008605349225
spo2_diff_1m,0.029423982986874153
hr_rise_from_baseline,0.027525300579957654
spo2_drop_from_baseline,0.025876709722325936
spo2_drop_lag2,0.02551204371317867
spo2_drop_lag1,0.024663388475378877
hr_diff_1m,0.024188755681860432
